timestamp,ax,ay,az,gx,gy,gz,label
1790087535.774422,241,3851,4236,-2720,309,-209,circle
1790087535.784308,535,3389,3906,-2849,255,-338,circle
1790087535.7943733,820,2949,3585,-2897,186,-416,circle
1790087535.8031704,1008,2681,3266,-2885,130,-461,circle
1790087535.8143673,930,2411,3030,-2829,135,-450,circle
1790087535.8242915,988,2185,2754,-2753,94,-513,circle
1790087535.834397,1016,2035,2582,-2591,81,-589,circle
1790087535.8442688,993,1922,2445,-2407,85,-695,circle
1790087535.8543994,997,1909,2377,-2213,24,-816,circle
1790087535.86337,1105,1895,2354,-2041,-50,-937,circle
1790087535.8745239,1246,1876,2271,-1899,-100,-1059,circle
1790087535.884337,1286,1722,2162,-1782,-108,-1147,circle
1790087535.894523,1421,1569,1986,-1657,-142,-1260,circle
1790087535.904306,1513,1386,1838,-1542,-164,-1339,circle
1790087535.9145095,1552,1083,1735,-1454,-194,-1378,circle
1790087535.9242697,1658,710,1532,-1346,-260,-1375,circle
1790087535.9341683,1652,301,1333,-1192,-262,-1333,circle
1790087535.9432945,1557,-60,1147,-992,-236,-1270,circle
1790087535.9532197,1438,-560,982,-745,-251,-1128,circle
1790087535.9631932,1684,-947,770,-421,-334,-1126,circle
1790087535.974486,1910,-1317,695,-6,-363,-1073,circle
1790087535.9845967,2115,-1620,754,479,-317,-964,circle
1790087535.9931893,2213,-1809,850,1051,-257,-814,circle
1790087536.0042598,2077,-1858,1237,1554,-106,-848,circle
1790087536.0141723,2015,-1990,1364,1849,-54,-1005,circle
1790087536.0242486,1928,-2098,1445,2194,-46,-1121,circle
1790087536.0343373,2124,-2136,1732,2449,-171,-1195,circle
1790087536.0442762,1935,-2076,2037,2390,-219,-1260,circle
1790087536.054343,1995,-2250,2116,2396,-350,-1244,circle
1790087536.064241,2176,-2246,2412,2501,-440,-1301,circle
1790087536.0743744,2098,-2074,2821,2599,-429,-1313,circle
1790087536.0842977,2041,-1923,3183,2615,-519,-1266,circle
1790087536.0943933,2210,-1863,3485,2614,-708,-1142,circle
1790087536.1042526,2376,-1714,3949,2633,-865,-889,circle
1790087536.1141808,2135,-1737,4174,2641,-979,-451,circle
1790087536.1244364,1989,-1775,4330,2699,-1133,4,circle
1790087536.1341555,1736,-1233,4771,2858,-1227,397,circle
1790087536.1433537,2401,-939,4756,2895,-1472,706,circle
1790087536.1541686,2832,-413,5354,2866,-1505,1043,circle
1790087536.1633503,3365,156,5781,2674,-1486,1226,circle
1790087536.1733603,3415,598,6079,2460,-1262,1478,circle
1790087536.1831877,3862,628,5959,2237,-1062,1679,circle
1790087536.1943128,3572,864,6356,2120,-822,1855,circle
1790087536.2033932,3845,1082,6291,1862,-598,1782,circle
1790087536.2142699,3588,949,6356,1687,-58,1770,circle
1790087536.2243707,3567,1343,6543,1686,354,1672,circle
1790087536.234336,3342,1870,6808,1728,692,1656,circle
1790087536.2443962,3376,2573,7103,1706,837,1720,circle
1790087536.2544785,3158,3062,7208,1523,957,1921,circle
1790087536.2631848,2953,3245,6908,1211,1120,2045,circle
1790087536.2743275,2695,3239,6505,910,1348,2021,circle
1790087536.2843745,2326,3296,6529,671,1561,1895,circle
1790087536.2942793,2594,2994,5075,429,1622,1658,circle
1790087536.3043685,1948,3030,5222,385,2058,1423,circle
1790087536.314494,1921,3293,5258,400,2152,1242,circle
1790087536.324567,1694,3531,5336,337,2289,1235,circle
1790087536.3346705,1288,3921,5337,262,2442,1115,circle
1790087536.3443685,1038,4168,5388,124,2501,1043,circle
1790087536.3542638,952,4354,5364,-82,2479,877,circle
1790087536.364346,945,4667,5385,-283,2498,686,circle
1790087536.3744838,632,4728,5370,-468,2462,717,circle
1790087536.3843417,413,4849,5256,-703,2374,639,circle
1790087536.3934236,-141,4863,5009,-1149,2057,414,circle
1790087536.403411,-339,4877,5026,-1384,1865,269,circle
1790087536.4145322,-383,4934,4985,-1641,1620,78,circle
1790087536.4241915,-517,4893,4973,-1954,1447,-121,circle
1790087536.434292,-459,4698,4679,-2354,1233,-330,circle
1790087536.444196,-328,4449,4386,-2679,1037,-505,circle
1790087536.4533515,-351,4244,4247,-2925,862,-642,circle
1790087536.463183,-230,3904,3898,-3254,601,-806,circle
1790087536.473407,-349,3520,3613,-3415,288,-903,circle
1790087536.4841902,445,3193,3326,-3341,-211,-1016,circle
1790087536.4942663,736,2928,3127,-3275,-343,-1045,circle
1790087536.5041761,658,2637,3021,-3208,-270,-1038,circle
1790087536.5142696,906,2351,2794,-3093,-397,-1185,circle
1790087536.524367,1329,2126,2516,-2958,-470,-1317,circle
1790087536.5342798,1292,1912,2433,-2787,-349,-1359,circle
1790087536.544399,1426,1783,2346,-2578,-295,-1434,circle
1790087536.5543168,1469,1631,2262,-2394,-232,-1508,circle
1790087536.5643935,1404,1522,2181,-2215,-146,-1555,circle
1790087536.5742626,1426,1426,1997,-2029,-108,-1582,circle
1790087536.584356,1404,1271,1911,-1847,-106,-1556,circle
1790087536.59429,1552,1095,1757,-1678,-170,-1566,circle
1790087536.6041849,1492,875,1631,-1520,-205,-1533,circle
1790087536.614275,1563,673,1431,-1350,-274,-1516,circle
1790087536.624169,1573,350,1267,-1159,-311,-1447,circle
1790087536.6342154,1602,7,1081,-952,-324,-1385,circle
1790087536.6431808,1588,-270,938,-703,-331,-1294,circle
1790087536.6533737,1545,-555,840,-415,-338,-1149,circle
1790087536.6642847,1531,-858,861,-90,-354,-1113,circle
1790087536.6743839,1772,-996,973,293,-422,-1151,circle
1790087536.6843088,1855,-1052,1143,678,-425,-1120,circle
1790087536.6942198,1769,-1157,1263,1049,-390,-984,circle
1790087536.7043202,1680,-1239,1232,1348,-326,-1017,circle
1790087536.7144911,1543,-1374,1412,1707,-299,-1048,circle
1790087536.7243037,1629,-1357,1432,1903,-376,-1204,circle
1790087536.7345214,1663,-1634,1688,2157,-505,-1236,circle
1790087536.7443078,1819,-1645,1879,2262,-616,-1422,circle
1790087536.7543895,1600,-1799,2137,2272,-566,-1426,circle
1790087536.764285,1698,-1890,2387,2319,-635,-1372,circle
1790087536.774373,1669,-1929,2730,2384,-682,-1286,circle
1790087536.7842777,1482,-1894,3216,2433,-764,-1162,circle
1790087536.7943976,1689,-1854,3471,2453,-1073,-1074,circle
1790087536.804289,1920,-1742,3924,2524,-1398,-957,circle
1790087536.8143766,2519,-1694,4156,2586,-1795,-817,circle
1790087536.824277,3188,-1653,4581,2640,-2161,-685,circle
1790087536.8343616,3957,-1714,5018,2656,-2351,-620,circle
1790087536.8442597,4692,-1102,5611,2845,-2245,-459,circle
1790087536.854189,4751,-680,6126,2703,-1823,-175,circle
1790087536.8632011,4655,-521,6467,2400,-1317,237,circle
1790087536.8743052,4345,-365,6538,2158,-866,661,circle
1790087536.8842309,3859,-6,6581,2070,-400,1110,circle
1790087536.893175,3588,-208,6312,1908,-170,1529,circle
1790087536.9041762,3451,19,6099,1878,-54,1735,circle
1790087536.91448,3463,380,6088,1835,173,1919,circle
1790087536.9242349,3352,953,6184,1754,566,2019,circle
1790087536.9332402,3023,1495,6447,1634,1024,2051,circle
1790087536.94341,2699,2130,6736,1497,1347,2047,circle
1790087536.9534054,2408,2700,6968,1275,1506,2055,circle
1790087536.9643745,2068,3028,6903,944,1601,2035,circle
1790087536.9744825,1644,3109,6530,630,1691,1952,circle
1790087536.9843566,1479,3044,5896,411,1707,1827,circle
1790087536.9944856,1470,2916,5199,246,1758,1680,circle
1790087537.0043328,1488,2886,4741,192,1948,1531,circle
1790087537.0146635,1341,3043,4692,237,2236,1410,circle
1790087537.0245514,1223,3238,4956,265,2441,1197,circle
1790087537.0342562,1319,3701,5340,237,2574,886,circle
1790087537.0443673,1371,4036,5610,124,2717,676,circle
1790087537.054403,1479,4293,5701,-18,2885,597,circle
1790087537.0645242,1188,4373,5859,-149,3059,642,circle
1790087537.0742798,825,4550,5899,-330,3048,591,circle
1790087537.0844936,258,4646,5631,-591,2857,604,circle
1790087537.0944536,-619,4749,5294,-870,2520,645,circle
1790087537.1042051,-1134,4904,4990,-1150,1942,614,circle
1790087537.114272,-1147,5037,4805,-1426,1307,521,circle
1790087537.124449,-769,4816,4736,-1740,816,406,circle
1790087537.134423,-246,4357,4616,-2037,485,270,circle
1790087537.1443102,244,3927,4362,-2180,347,129,circle
1790087537.154229,574,3656,4183,-2189,368,-50,circle
1790087537.1643085,826,3626,4315,-2169,402,-235,circle
1790087537.1743774,973,3808,4538,-2248,434,-370,circle
1790087537.1846843,839,3830,4568,-2392,442,-427,circle
1790087537.1943753,840,3804,4463,-2546,321,-518,circle
1790087537.2047,688,3666,4272,-2674,197,-566,circle
1790087537.214348,656,3391,3985,-2867,89,-677,circle
1790087537.2242541,771,3034,3856,-2942,9,-892,circle
1790087537.2342126,1191,2599,3570,-2912,-35,-1192,circle
1790087537.2434325,1347,2165,3421,-2702,63,-1367,circle
1790087537.2542026,1500,1680,3275,-2481,177,-1538,circle
1790087537.2642863,1661,1503,3127,-2240,266,-1687,circle
1790087537.2741797,1487,1374,3062,-2044,373,-1675,circle
1790087537.2842832,1432,1237,2838,-1942,381,-1653,circle
1790087537.2934034,1326,995,2504,-1877,368,-1572,circle
1790087537.3034103,1142,772,2213,-1792,378,-1508,circle
1790087537.3134332,1101,521,1942,-1668,337,-1496,circle
1790087537.3232243,1191,184,1556,-1503,265,-1473,circle
1790087537.334181,1267,-237,1218,-1307,243,-1451,circle
1790087537.3442388,1309,-583,1027,-1057,213,-1441,circle
1790087537.35449,1402,-883,882,-753,133,-1380,circle
1790087537.3643763,1463,-1191,814,-395,49,-1249,circle
1790087537.37447,1402,-1339,880,8,-13,-1091,circle
1790087537.38435,1423,-1338,1015,440,-97,-879,circle
1790087537.393397,1289,-1339,1176,847,-140,-584,circle
1790087537.4042094,1118,-1128,1488,1215,-173,-557,circle
1790087537.414297,1156,-1123,1357,1313,-287,-665,circle
1790087537.423418,1098,-709,1625,1410,-363,-623,circle
1790087537.4342408,962,-830,2039,915,-497,-744,circle
1790087537.4433863,1045,-1004,1843,547,-720,-972,circle
1790087537.453195,908,-1059,1659,405,-853,-1117,circle
1790087537.4641848,1354,-1695,2001,516,-1308,-807,circle
1790087537.4742606,1789,-2239,2457,654,-1513,-530,circle
1790087537.484192,2666,-2974,2748,664,-1780,-341,circle
1790087537.4942515,3154,-3842,2842,712,-1859,-118,circle
1790087537.5033336,3293,-4540,2894,1010,-1705,62,circle
1790087537.5143836,3025,-4119,3214,1473,-1481,5,circle
1790087537.524333,2855,-3209,3664,1772,-1331,-137,circle
1790087537.5345683,2814,-2708,3893,1824,-1155,-278,circle
1790087537.544329,2380,-2061,4319,1888,-967,-341,circle
1790087537.5545611,2141,-1763,4463,1885,-1000,-256,circle
1790087537.5643253,2226,-1644,4760,1893,-1176,-141,circle
1790087537.5732634,2520,-1782,4989,1843,-1348,44,circle
1790087537.5842936,2788,-1731,5222,1899,-1465,307,circle
1790087537.5942423,3110,-1913,5223,1826,-1412,599,circle
1790087537.6043024,3227,-1871,5201,1807,-1159,848,circle
1790087537.6141856,3094,-1751,5322,1874,-834,1017,circle
1790087537.6242714,3043,-1178,5548,2080,-532,1140,circle
1790087537.633207,3025,-798,5772,2176,-283,1304,circle
1790087537.644597,3174,-211,5865,2194,-85,1357,circle
1790087537.65449,2996,564,6170,2193,240,1446,circle
1790087537.6646113,2770,1163,6456,2094,530,1500,circle
1790087537.6745217,2485,1844,6697,1996,776,1485,circle
1790087537.6843793,2198,2369,6902,1814,947,1506,circle
1790087537.6931977,2052,2789,6843,1570,1046,1515,circle
1790087537.7033904,1691,3085,6641,1195,1251,1483,circle
1790087537.7145536,1612,2710,6135,762,1351,1454,circle
1790087537.724355,1370,2737,5468,698,1388,1338,circle
1790087537.734575,1142,3054,5377,658,1485,1132,circle
1790087537.7441533,909,3562,5954,457,1670,893,circle
1790087537.754428,999,3933,6236,147,1709,738,circle
1790087537.7643108,983,4296,6430,-192,1830,633,circle
1790087537.774225,896,4504,6635,-459,1944,686,circle
