timestamp,ax,ay,az,gx,gy,gz,label
1790088889.0357382,814,-1724,4006,-164,-9,-172,figure8
1790088889.0454094,844,-1861,3923,-71,7,-180,figure8
1790088889.0558033,1009,-1965,3930,44,22,-178,figure8
1790088889.0657198,1183,-2039,3910,176,35,-134,figure8
1790088889.0757759,1465,-2179,3898,329,68,-56,figure8
1790088889.0857,1724,-2410,3759,518,167,57,figure8
1790088889.095809,2117,-2618,3583,779,358,182,figure8
1790088889.1057448,2692,-2788,3397,1105,668,347,figure8
1790088889.1145654,2348,-3289,3283,1524,1104,636,figure8
1790088889.1247516,2321,-2771,3097,2126,1368,740,figure8
1790088889.135613,1883,-2535,2829,2710,1451,1046,figure8
1790088889.1456788,1603,-1829,2438,3274,1394,1315,figure8
1790088889.1545274,851,-1375,2131,3733,1406,1632,figure8
1790088889.165978,443,-595,1914,4091,1254,1632,figure8
1790088889.1757445,583,412,1856,4365,999,1680,figure8
1790088889.185597,944,1317,2145,4427,861,1857,figure8
1790088889.1958938,1575,2206,2134,4374,969,1823,figure8
1790088889.2059822,996,3033,2602,4234,1461,1906,figure8
1790088889.21456,1374,3531,2683,3928,1487,2092,figure8
1790088889.224847,1016,3908,2926,3721,1632,2135,figure8
1790088889.2356741,783,4628,3008,3491,1860,1848,figure8
1790088889.2445605,-561,5455,3462,3292,2165,1558,figure8
1790088889.2556937,-1684,6304,3826,2867,2079,1103,figure8
1790088889.2647734,-2728,6880,4111,2248,1619,583,figure8
1790088889.2758174,-2941,7247,4135,1551,831,6,figure8
1790088889.2859206,-2420,6913,4018,815,-25,-471,figure8
1790088889.2947683,-1613,6240,3640,184,-652,-892,figure8
1790088889.3055599,-986,5633,3375,-330,-967,-1329,figure8
1790088889.3156676,-670,5229,3265,-781,-1178,-1664,figure8
1790088889.3259032,-301,4794,3160,-1210,-1523,-1849,figure8
1790088889.3358161,113,4393,3003,-1633,-1926,-1981,figure8
1790088889.345706,692,3847,2807,-2030,-2255,-2078,figure8
1790088889.3558083,1313,3138,2599,-2364,-2398,-2122,figure8
1790088889.3659294,1547,2360,2349,-2611,-2323,-2108,figure8
1790088889.3757517,1570,1624,2155,-2763,-2188,-2085,figure8
1790088889.3859231,1443,1062,2167,-2802,-2087,-2018,figure8
1790088889.3957732,1283,664,2458,-2768,-2091,-1855,figure8
1790088889.4056795,1240,312,2635,-2727,-2161,-1570,figure8
1790088889.415949,1248,-298,2611,-2694,-2205,-1236,figure8
1790088889.4260368,1496,-1071,2551,-2634,-2203,-1089,figure8
1790088889.4359622,1681,-2257,2421,-2396,-2087,-1036,figure8
1790088889.4460227,1765,-3302,2437,-1896,-1834,-1206,figure8
1790088889.4559107,1761,-3995,2587,-1146,-1606,-1320,figure8
1790088889.465823,1770,-4001,3354,-366,-1391,-1505,figure8
1790088889.4757025,1549,-3521,4236,161,-1312,-1576,figure8
1790088889.4857574,1857,-2881,4849,277,-1416,-1646,figure8
1790088889.4956713,1844,-2936,5052,313,-1564,-1274,figure8
1790088889.5055728,1890,-3392,5274,416,-1793,-747,figure8
1790088889.5156548,2127,-3830,5508,585,-1987,-337,figure8
1790088889.5255666,2610,-4047,5808,824,-2009,-102,figure8
1790088889.535639,3099,-4056,6121,1121,-1849,169,figure8
1790088889.5455437,3347,-3835,6296,1371,-1584,421,figure8
1790088889.555639,3524,-3249,6424,1646,-1247,669,figure8
1790088889.5647123,3469,-2490,6628,1885,-848,877,figure8
1790088889.5756025,3204,-1453,6851,2022,-451,1068,figure8
1790088889.5858238,2765,-483,7058,2063,-90,1309,figure8
1790088889.5958235,2376,266,7082,2036,217,1463,figure8
1790088889.6058886,2060,1010,7191,1987,533,1563,figure8
1790088889.6157134,1744,1934,7351,1899,873,1692,figure8
1790088889.624604,1437,2476,7264,1618,1168,1745,figure8
1790088889.634627,1352,2824,7016,1218,1385,1676,figure8
1790088889.645915,1138,3233,6679,818,1660,1513,figure8
1790088889.6558394,704,3488,6253,398,1954,1300,figure8
1790088889.6655462,231,3700,5942,-6,2118,1084,figure8
1790088889.675642,254,4089,5677,-388,2106,815,figure8
1790088889.685936,263,4544,5580,-789,2207,608,figure8
1790088889.6959763,-81,4836,5527,-1208,2403,528,figure8
1790088889.7048109,-281,5060,5462,-1596,2486,430,figure8
1790088889.71463,-513,5289,5373,-1942,2469,296,figure8
1790088889.7248163,-637,5352,5382,-2281,2347,169,figure8
1790088889.735978,-872,4903,5055,-2792,2126,29,figure8
1790088889.745713,-888,4700,4910,-3000,1771,-184,figure8
1790088889.7556427,-803,4271,4734,-3173,1379,-336,figure8
1790088889.7656844,-682,3984,4624,-3271,1023,-494,figure8
1790088889.7748072,-569,3655,4631,-3368,740,-660,figure8
1790088889.7845995,-335,3203,4572,-3499,448,-877,figure8
1790088889.7957444,28,2549,4387,-3580,119,-1051,figure8
1790088889.8056593,346,1866,4177,-3571,-188,-1152,figure8
1790088889.8155568,685,1214,4088,-3494,-421,-1216,figure8
1790088889.824634,943,721,4009,-3369,-585,-1223,figure8
1790088889.8357525,1245,-257,3788,-3064,-657,-1214,figure8
1790088889.845838,1292,-588,3497,-2684,-653,-1107,figure8
1790088889.855946,1724,-1472,3187,-2375,-693,-1056,figure8
1790088889.8657897,2155,-2133,3096,-1884,-642,-996,figure8
1790088889.8756852,2545,-2816,2903,-1358,-483,-820,figure8
1790088889.8855937,2903,-3029,3060,-813,-225,-589,figure8
1790088889.894586,2535,-3194,3034,-546,188,-271,figure8
1790088889.9059114,2018,-2832,3332,-199,498,-71,figure8
1790088889.9157863,1615,-2791,3241,-52,615,65,figure8
1790088889.925892,1355,-2640,3157,134,613,222,figure8
1790088889.9357154,760,-2498,2474,248,566,376,figure8
1790088889.9458292,661,-2691,3730,334,335,326,figure8
1790088889.9557195,1240,-1861,3197,386,164,-22,figure8
1790088889.965803,640,-2803,2766,122,314,181,figure8
1790088889.9759767,1231,-2874,2864,103,226,-100,figure8
1790088889.9856808,1294,-3131,2676,191,215,-82,figure8
1790088889.9955103,1122,-3117,2573,596,223,70,figure8
1790088890.005993,1041,-2924,2876,1033,147,219,figure8
1790088890.0160425,1216,-2613,3016,1255,-17,301,figure8
1790088890.0260227,1262,-2463,2901,1405,-54,412,figure8
1790088890.0357258,1170,-2094,3010,1653,71,488,figure8
1790088890.0457623,1116,-1491,3303,1858,208,544,figure8
1790088890.055635,1105,-931,3541,1957,325,602,figure8
1790088890.0658078,1010,-373,3774,1930,488,592,figure8
1790088890.0754302,670,30,3929,1785,650,576,figure8
1790088890.0854888,384,160,3938,1604,719,570,figure8
1790088890.0956113,115,315,4003,1457,727,521,figure8
1790088890.1055124,-150,497,4053,1325,703,443,figure8
1790088890.1157584,-299,658,4071,1147,622,313,figure8
1790088890.1255853,-427,734,4062,918,510,183,figure8
1790088890.1355648,-266,733,4083,695,332,94,figure8
1790088890.1457057,-117,815,4208,518,186,39,figure8
1790088890.1553473,-88,878,4298,354,88,43,figure8
1790088890.1652892,-34,910,4349,173,-24,59,figure8
1790088890.1753464,75,844,4396,-18,-167,94,figure8
1790088890.1858373,117,631,4308,-176,-309,137,figure8
1790088890.195737,240,346,4171,-274,-416,141,figure8
1790088890.2057004,302,65,4088,-296,-444,113,figure8
1790088890.215546,383,-132,4059,-258,-419,56,figure8
1790088890.2258394,367,-183,4056,-185,-359,15,figure8
1790088890.2357016,327,-113,4110,-105,-309,2,figure8
1790088890.2454438,251,6,4253,-40,-293,20,figure8
1790088890.2552724,319,112,4336,9,-339,70,figure8
1790088890.265437,382,194,4465,34,-380,113,figure8
1790088890.275318,495,305,4625,44,-411,137,figure8
1790088890.285583,549,316,4695,37,-413,152,figure8
1790088890.295352,467,236,4659,13,-354,145,figure8
1790088890.3051767,434,93,4563,-3,-304,98,figure8
1790088890.31548,477,-24,4499,26,-281,25,figure8
1790088890.325512,463,-2,4545,91,-238,-33,figure8
1790088890.3354328,442,74,4628,133,-216,-67,figure8
1790088890.345708,496,195,4758,128,-220,-91,figure8
1790088890.3555875,597,246,4824,81,-246,-84,figure8
1790088890.3654335,684,235,4849,7,-253,-56,figure8
1790088890.3756092,693,164,4827,-79,-242,-18,figure8
1790088890.3853486,711,34,4793,-156,-244,0,figure8
1790088890.3956652,729,-91,4746,-201,-243,10,figure8
1790088890.405307,740,-82,4679,-227,-221,9,figure8
1790088890.4155824,707,-81,4694,-258,-181,16,figure8
1790088890.4258437,724,-60,4683,-283,-166,-12,figure8
1790088890.435822,727,-92,4618,-307,-161,-43,figure8
1790088890.4458363,769,-106,4585,-329,-161,-72,figure8
1790088890.4559019,764,-138,4564,-350,-133,-88,figure8
1790088890.4660625,793,-255,4512,-361,-111,-111,figure8
1790088890.4756927,802,-403,4482,-350,-92,-133,figure8
1790088890.4858158,813,-462,4470,-312,-73,-144,figure8
1790088890.4957407,760,-434,4457,-265,-46,-140,figure8
1790088890.5056415,704,-371,4485,-225,-17,-137,figure8
1790088890.5156658,687,-278,4537,-195,16,-146,figure8
1790088890.525545,662,-260,4508,-179,29,-150,figure8
1790088890.535874,575,-286,4464,-174,30,-154,figure8
1790088890.545667,590,-310,4476,-164,16,-166,figure8
1790088890.5557024,576,-312,4518,-146,22,-164,figure8
1790088890.56568,581,-369,4520,-135,18,-156,figure8
1790088890.575429,604,-419,4531,-133,3,-142,figure8
1790088890.5858445,636,-453,4501,-125,-11,-121,figure8
1790088890.595701,670,-461,4501,-108,-12,-81,figure8
1790088890.6054602,646,-450,4489,-89,-2,-46,figure8
1790088890.6155424,662,-462,4446,-77,-6,-19,figure8
1790088890.6254337,595,-483,4425,-64,-7,11,figure8
