timestamp,ax,ay,az,gx,gy,gz,label
1790001849.8919744,990,-3957,414,-224,-442,0,idle
1790001849.902072,998,-3987,488,-282,-376,50,idle
1790001849.9123197,942,-4122,523,-332,-293,84,idle
1790001849.921979,910,-4244,577,-332,-239,87,idle
1790001849.9320545,886,-4260,631,-286,-205,35,idle
1790001849.9422028,858,-4142,672,-221,-174,-22,idle
1790001849.952287,815,-3971,668,-179,-163,-46,idle
1790001849.96215,820,-3938,634,-190,-170,-56,idle
1790001849.9722798,851,-3937,613,-222,-169,-45,idle
1790001849.9823575,866,-3999,592,-252,-142,10,idle
1790001849.992197,853,-4087,575,-260,-109,70,idle
1790001850.0021057,847,-4158,576,-249,-85,74,idle
1790001850.0121949,804,-4079,573,-216,-70,67,idle
1790001850.022131,840,-4075,601,-204,-75,67,idle
1790001850.0321565,866,-4111,579,-202,-57,73,idle
1790001850.0419445,810,-4117,598,-184,-17,79,idle
1790001850.0519118,787,-4150,627,-168,7,55,idle
1790001850.06169,726,-4071,625,-120,9,50,idle
1790001850.0717692,711,-3913,591,-91,-18,39,idle
1790001850.0818548,849,-4146,498,-138,3,117,idle
1790001850.0919821,692,-4204,453,-111,60,165,idle
1790001850.1018753,652,-4252,440,-80,37,110,idle
1790001850.1119754,723,-4175,471,-48,-10,5,idle
1790001850.1222198,772,-4067,473,-19,-25,-50,idle
1790001850.1320424,761,-4035,439,-22,-8,-54,idle
1790001850.142007,699,-4028,434,-42,14,-32,idle
1790001850.1517224,691,-4056,450,-59,4,-9,idle
1790001850.1621563,698,-4128,449,-69,-21,-33,idle
1790001850.1720836,692,-4093,460,-53,-33,-63,idle
1790001850.18207,718,-4112,519,-54,-45,-94,idle
1790001850.1922307,736,-4099,540,-47,-52,-106,idle
1790001850.2021685,740,-4077,563,-30,-55,-94,idle
1790001850.2119362,787,-4087,583,-27,-57,-98,idle
1790001850.2221544,807,-4113,569,-11,-44,-88,idle
1790001850.2318738,746,-4034,559,29,-28,-55,idle
1790001850.2421148,745,-4030,541,28,-49,-92,idle
1790001850.252235,865,-4205,436,28,-92,-146,idle
1790001850.2621317,790,-4075,524,69,-82,-228,idle
1790001850.272219,797,-4006,545,72,-84,-267,idle
1790001850.2819264,854,-4020,540,39,-94,-328,idle
1790001850.29221,857,-3978,519,34,-81,-301,idle
1790001850.3020937,879,-3985,571,23,-69,-270,idle
1790001850.3120074,900,-4048,564,-3,-48,-269,idle
1790001850.322282,884,-4023,521,-11,-21,-221,idle
1790001850.3320334,910,-4018,496,-9,-3,-126,idle
1790001850.3418944,884,-3939,529,-7,17,-80,idle
1790001850.3519874,888,-4041,566,-42,24,-47,idle
1790001850.362039,934,-4131,572,-52,27,-67,idle
1790001850.3719544,969,-4173,606,-25,44,-131,idle
1790001850.3818536,924,-4127,656,31,62,-229,idle
1790001850.391927,913,-4052,643,77,58,-315,idle
