timestamp,ax,ay,az,gx,gy,gz,label
1790002810.355617,4407,-658,473,-4087,-9311,-1104,shake
1790002810.3659096,7607,-2094,-867,-3619,-8301,-1297,shake
1790002810.3757608,8660,-3376,-312,-3013,-6253,-1182,shake
1790002810.3860378,10569,-4448,-1681,-2233,-4513,-774,shake
1790002810.3959603,11296,-5059,-1216,-1288,-2057,-795,shake
1790002810.4055495,9608,-3888,33,-178,751,-454,shake
1790002810.4157236,7994,-2958,559,944,3168,85,shake
1790002810.4258065,7056,-1788,969,1847,5337,83,shake
1790002810.435649,5377,-959,1327,2550,7528,478,shake
1790002810.4459865,3527,-450,1397,3159,9342,928,shake
1790002810.4547126,1830,615,1169,3943,10680,1236,shake
1790002810.465582,-636,1586,1096,4727,11685,1773,shake
1790002810.475519,-3220,2247,949,5178,11880,1812,shake
1790002810.4856184,-7042,3831,2429,5448,10891,1414,shake
1790002810.4944735,-8359,4989,2074,4717,7883,375,shake
1790002810.5055883,-11356,6674,3227,3310,4875,509,shake
1790002810.5144715,-11716,7215,4012,605,1131,746,shake
1790002810.5257912,-12124,7298,4345,-1565,-2158,870,shake
1790002810.5356636,-9954,6741,3908,-2985,-5019,674,shake
1790002810.5455854,-7122,6307,4812,-3585,-6939,623,shake
1790002810.5556836,-4851,4898,2911,-4476,-8121,471,shake
1790002810.5655856,-4406,3900,2261,-5038,-8515,309,shake
1790002810.57584,-3104,2037,1814,-5512,-9102,-202,shake
1790002810.5844748,817,794,858,-5349,-10039,-881,shake
1790002810.5956683,4050,-356,551,-4953,-9699,-1465,shake
1790002810.6057487,7079,-2093,16,-4515,-8425,-1648,shake
1790002810.6160471,9916,-4332,-1138,-3665,-6603,-1446,shake
1790002810.62589,12998,-6532,-2255,-2390,-4714,-886,shake
1790002810.6359987,14066,-6175,-2530,-1020,-1893,-1021,shake
1790002810.6456923,10656,-4891,-1173,135,1785,-502,shake
1790002810.6546893,7944,-3571,-15,1241,4628,-138,shake
1790002810.6644843,6526,-1880,815,2216,7010,-551,shake
1790002810.6746957,4796,-1289,1243,3009,8953,178,shake
1790002810.6856139,3020,-804,890,3951,10296,901,shake
1790002810.6957126,1284,692,229,5204,11333,1167,shake
1790002810.7054775,-1980,2728,616,6148,12176,1573,shake
1790002810.7156155,-5292,4027,1569,5926,12093,1462,shake
1790002810.7254598,-8805,5224,1569,5750,9970,1875,shake
1790002810.7355886,-12200,7088,2380,4139,6535,1303,shake
1790002810.745462,-14020,7748,3581,1181,1986,998,shake
1790002810.7557576,-14133,7680,3023,-1545,-2521,808,shake
1790002810.7658088,-11900,7441,3194,-3264,-5995,319,shake
1790002810.7757235,-7713,6337,3613,-3989,-8179,-305,shake
1790002810.785836,-5918,5853,3884,-4633,-8782,-710,shake
1790002810.795752,-4356,4023,2719,-5227,-9334,-836,shake
1790002810.8057995,-2281,2230,1583,-5346,-9982,-1444,shake
1790002810.8157372,1784,1071,720,-5039,-10771,-1993,shake
1790002810.825827,6129,-434,181,-4425,-10159,-2308,shake
1790002810.8360455,11295,-3222,-2074,-3847,-8567,-2141,shake
1790002810.8460076,15332,-5954,-1938,-2597,-5675,-1765,shake
1790002810.8560503,15784,-6534,-2635,-1080,-2070,-1099,shake
1790002810.8655643,10618,-4997,-2209,388,2069,311,shake
1790002810.8746932,7245,-4136,-761,1297,5148,341,shake
1790002810.884709,6498,-2735,536,2163,7204,-611,shake
1790002810.895628,4754,-1446,915,3275,9083,-38,shake
1790002810.9055123,2622,-41,511,4379,10781,654,shake
1790002810.9154716,-1132,1567,217,5447,12086,1194,shake
1790002810.925563,-6990,3209,463,5975,12306,1442,shake
1790002810.93567,-11928,4979,1050,5571,10237,874,shake
1790002810.9444923,-14799,6914,2393,4247,6015,10,shake
1790002810.95566,-14469,8724,4299,1969,1066,-852,shake
1790002810.9657815,-12541,8630,5149,-560,-3202,-681,shake
1790002810.975873,-9608,7842,6095,-2348,-6272,-387,shake
1790002810.9857512,-6123,4938,3528,-4719,-9889,446,shake
1790002810.9958198,-3355,2629,1132,-5393,-11332,521,shake
1790002811.005731,1176,435,-218,-5508,-12123,-323,shake
1790002811.0160632,8194,-2470,-2127,-4934,-11733,-1087,shake
1790002811.0261188,15723,-5684,-4082,-3698,-9337,-1551,shake
1790002811.0360577,16047,-6131,-3265,-2052,-4667,-856,shake
1790002811.0445366,11399,-5260,-1953,-524,49,647,shake
1790002811.0557292,9338,-4073,-982,722,3233,618,shake
1790002811.0656455,7900,-2667,295,1807,6020,162,shake
1790002811.075922,5831,-1674,850,2716,8470,459,shake
1790002811.0858498,3865,-439,508,3619,10373,788,shake
1790002811.095903,471,1128,325,4538,12097,1200,shake
1790002811.1045115,-4885,2357,46,5275,12823,1622,shake
1790002811.1157258,-10678,4196,676,5410,11595,1225,shake
1790002811.1247141,-15178,5859,1904,4445,8158,83,shake
1790002811.1357462,-16032,8850,4556,2711,3081,-1007,shake
1790002811.145615,-13836,9222,5872,85,-2016,-919,shake
1790002811.1559196,-11013,7964,6062,-2086,-5947,-295,shake
1790002811.1658177,-7954,6877,5302,-3648,-8699,-191,shake
1790002811.17576,-5967,5263,3345,-4776,-10379,210,shake
1790002811.185845,-4298,3256,2016,-5370,-11308,297,shake
1790002811.1957002,904,815,-1163,-5466,-12584,-333,shake
1790002811.2058148,5725,-821,-1428,-4954,-12415,-984,shake
1790002811.2161112,12950,-4526,-4007,-4218,-10907,-1053,shake
1790002811.2260606,18344,-7813,-5581,-2750,-7163,-1116,shake
1790002811.2359219,15319,-6839,-4120,-851,-1614,-210,shake
1790002811.2455804,10160,-5147,-2808,660,2961,861,shake
1790002811.2556608,8047,-3241,-666,1735,6108,99,shake
1790002811.2646792,6307,-2005,850,2696,8578,-108,shake
1790002811.275618,4984,-600,749,3698,10423,169,shake
1790002811.2856364,2728,479,81,4689,12289,803,shake
1790002811.295486,-389,1691,-396,5769,13673,1382,shake
1790002811.3055964,-4677,3473,-212,6224,13993,1439,shake
1790002811.315688,-10883,4178,-591,5775,12478,1351,shake
1790002811.3255816,-15750,6295,624,4856,7948,1059,shake
1790002811.3354928,-16136,8019,3199,2047,1760,448,shake
1790002811.3457618,-13849,8985,4098,-912,-3424,292,shake
1790002811.3558578,-12352,8501,4912,-2748,-6493,489,shake
1790002811.36576,-8993,7925,5593,-3637,-8663,159,shake
1790002811.3758364,-6222,6813,4256,-4783,-9804,-242,shake
1790002811.3857646,-4742,5306,3581,-5569,-10473,-46,shake
1790002811.3956442,-928,2201,853,-5906,-11436,-238,shake
1790002811.4057438,3817,282,-1190,-5310,-11671,-599,shake
1790002811.4162683,10374,-3176,-3040,-4592,-10490,-1177,shake
1790002811.426114,15824,-6251,-4141,-3327,-7653,-1500,shake
1790002811.4360335,16536,-8963,-5303,-1509,-3304,-317,shake
1790002811.445524,13139,-7653,-3687,513,1461,448,shake
1790002811.4556148,9344,-5226,-3244,1852,5259,699,shake
1790002811.465533,6456,-3748,-1300,2816,8166,111,shake
1790002811.47475,5471,-1495,27,3901,10060,-361,shake
1790002811.485444,2779,23,251,5092,12091,-48,shake
1790002811.495709,-475,2996,712,6582,13491,389,shake
1790002811.5046222,-4812,4740,906,6504,13989,378,shake
1790002811.5155997,-11695,6229,1468,5885,12537,866,shake
1790002811.5254915,-16476,9005,2999,4275,8142,284,shake
1790002811.535622,-17342,10140,4591,836,1889,-123,shake
1790002811.5458448,-15226,9511,4236,-2327,-3695,371,shake
1790002811.5557792,-12144,7542,2931,-4161,-7280,727,shake
1790002811.5656536,-7688,5594,1656,-4848,-9162,362,shake
1790002811.5757637,-6397,5574,2961,-5038,-9568,237,shake
1790002811.5856414,-4423,3551,800,-5633,-10286,373,shake
1790002811.5957236,-2265,1399,418,-5735,-10545,-118,shake
1790002811.6060534,3471,-1221,-1851,-5400,-11047,-1104,shake
1790002811.6159708,8460,-2935,-1965,-4332,-9825,-1660,shake
1790002811.6260886,13313,-5820,-3176,-3210,-7870,-1347,shake
1790002811.635923,14364,-7357,-3312,-1666,-4836,-436,shake
1790002811.6456118,12739,-6542,-2659,-6,-1515,412,shake
1790002811.6556993,11581,-4739,-2308,1206,1670,373,shake
1790002811.665707,8972,-3220,-60,2190,5330,206,shake
1790002811.6747465,6325,-1366,1458,3300,8231,364,shake
1790002811.6859741,4499,183,1405,4243,10245,399,shake
1790002811.6958895,789,1677,1418,5090,12234,695,shake
1790002811.7045028,-2675,2547,771,5864,12966,978,shake
1790002811.7156706,-6550,4598,1381,6249,12554,707,shake
1790002811.7257426,-11599,5920,1752,5508,10743,377,shake
1790002811.7357,-14982,8446,3469,4249,6721,-185,shake
1790002811.74574,-14657,9253,4316,1333,1538,-607,shake
