timestamp,ax,ay,az,gx,gy,gz,label
1789898034.1325505,12078,-5904,11964,-7,43,-12,wave
1789898034.1422951,11978,-5872,11910,-3,32,-3,wave
1789898034.152444,11960,-5836,11902,-1,31,-4,wave
1789898034.1624932,11892,-5772,11988,-1,40,-6,wave
1789898034.1723554,11706,-5780,11976,-5,52,8,wave
1789898034.182257,11484,-5854,11904,-10,45,-1,wave
1789898034.1925685,11694,-5896,11902,-12,24,-18,wave
1789898034.2024698,11730,-5856,11898,-2,28,-33,wave
1789898034.2121994,11604,-5762,11900,7,52,-24,wave
1789898034.222511,11642,-5454,12196,10,60,-49,wave
1789898034.2324324,11786,-5164,12362,7,52,-50,wave
1789898034.2426078,11528,-5130,12410,-13,61,-36,wave
1789898034.2525706,11494,-5014,12370,-42,64,-39,wave
1789898034.262428,11464,-4990,12552,-68,67,-53,wave
1789898034.272433,11616,-4888,12520,-88,54,-65,wave
1789898034.2815459,11616,-4824,12456,-107,51,-67,wave
1789898034.2914455,11574,-4842,12520,-127,44,-76,wave
1789898034.3014243,11846,-4818,12642,-142,32,-80,wave
1789898034.312351,12338,-4520,12748,-162,32,-104,wave
1789898034.3222563,12620,-4296,12888,-202,69,-139,wave
1789898034.332363,12706,-4300,12974,-253,113,-153,wave
1789898034.3424401,13078,-4132,13030,-291,117,-160,wave
1789898034.3523588,13460,-4118,12908,-319,110,-121,wave
1789898034.3622608,13730,-3690,13254,-347,139,-75,wave
1789898034.372712,13950,-3888,13266,-428,172,9,wave
1789898034.3814697,14424,-3550,13288,-509,172,70,wave
1789898034.3923862,14196,-3658,12934,-616,231,139,wave
1789898034.4022555,13566,-4620,12832,-731,316,211,wave
1789898034.4123645,13628,-5312,12818,-786,332,221,wave
1789898034.4222932,13168,-5704,12492,-811,352,244,wave
1789898034.4323676,12144,-6366,12342,-850,400,262,wave
1789898034.4422598,11986,-6642,11922,-865,369,215,wave
1789898034.4514778,11764,-6664,11868,-873,406,81,wave
1789898034.4624257,11270,-7734,11514,-956,571,-181,wave
1789898034.472548,10642,-10348,10252,-1044,791,-520,wave
1789898034.482258,9878,-12124,9578,-981,960,-943,wave
1789898034.4925654,13274,-15020,6658,-859,927,-1361,wave
1789898034.5026467,11176,-17318,5322,-713,1351,-1489,wave
1789898034.51262,10564,-19804,3236,-402,1558,-1508,wave
1789898034.5222714,9448,-22056,1884,17,1684,-1493,wave
1789898034.5323734,6648,-21964,1576,540,1688,-1306,wave
1789898034.5424852,4494,-20082,2122,1111,1434,-1165,wave
1789898034.552565,3218,-17752,3526,1514,1058,-1114,wave
1789898034.5622745,2504,-15918,2642,1927,581,-964,wave
1789898034.5723662,4834,-16442,3548,2306,-28,-703,wave
1789898034.582296,2362,-13454,5220,2656,193,-996,wave
1789898034.5924246,2022,-12854,4602,2881,180,-1093,wave
1789898034.6022956,2990,-9066,5872,3189,241,-1830,wave
1789898034.6114554,496,-6302,8192,3392,425,-2112,wave
1789898034.6212435,3854,-1700,8164,3569,12,-2453,wave
1789898034.6323948,7188,5402,10256,3629,128,-2966,wave
1789898034.6425185,10894,10816,13350,3429,501,-2996,wave
1789898034.6525662,13540,15552,16744,3194,877,-2833,wave
1789898034.6626701,13410,18372,19532,2857,1172,-2273,wave
1789898034.6726077,11502,20072,22756,2299,1272,-1635,wave
1789898034.6824734,11090,20500,23266,1596,996,-1140,wave
1789898034.6914654,8464,17662,22942,987,618,-380,wave
1789898034.702499,8334,16996,22048,591,-17,125,wave
1789898034.7123823,10004,17042,21270,198,-495,374,wave
1789898034.7224803,11540,15260,21358,-156,-654,408,wave
1789898034.7323787,14114,18466,22684,-168,-684,92,wave
1789898034.7423024,16296,20640,21406,-552,-367,27,wave
1789898034.7524343,13064,21954,24816,-1004,466,-56,wave
1789898034.7625167,10928,22556,26292,-1552,654,-32,wave
1789898034.7724028,10326,21792,24810,-2036,272,201,wave
1789898034.782344,8204,19120,24986,-2437,-110,651,wave
1789898034.7924342,10468,17828,22566,-2805,-858,993,wave
1789898034.8027349,11092,14764,19314,-3226,-1245,1344,wave
1789898034.8126194,9790,11102,16946,-3508,-1296,1504,wave
1789898034.8225605,11352,7824,14526,-3686,-1445,1444,wave
1789898034.8326135,11034,4218,11994,-3816,-1440,1595,wave
1789898034.8425343,11174,-128,9010,-3872,-1384,1576,wave
1789898034.852655,13088,-4858,6672,-3798,-1336,1476,wave
1789898034.8625162,13922,-8392,3926,-3682,-1107,1353,wave
1789898034.8724325,9818,-12992,3164,-3337,-623,1459,wave
1789898034.8825443,8006,-15244,2784,-2684,-704,1302,wave
1789898034.8926232,7434,-14460,-2936,-2029,-1096,1133,wave
1789898034.9025695,10816,-16012,4912,-2203,-1156,996,wave
1789898034.9126172,12786,-12410,2936,-2010,-1169,1530,wave
1789898034.9225245,8596,-17102,1516,-2203,-103,1561,wave
1789898034.9322374,4406,-22716,118,-2236,851,1152,wave
1789898034.9414747,1178,-24332,-850,-892,193,877,wave
1789898034.9515126,1390,-22918,574,-229,-557,928,wave
1789898034.9623172,3584,-20058,1948,227,-1147,880,wave
1789898034.972228,6196,-19868,1458,594,-1294,835,wave
1789898034.9814665,6790,-20116,792,968,-1062,615,wave
1789898034.9922364,6622,-19036,2132,1322,-868,427,wave
1789898035.002322,5668,-17812,2116,1640,-825,376,wave
1789898035.0123796,6208,-14950,3780,2036,-857,3,wave
1789898035.022348,8048,-12950,5180,2227,-775,-397,wave
1789898035.0324233,8616,-10602,6236,2269,-504,-616,wave
1789898035.0423315,8720,-7928,7838,2306,-251,-846,wave
1789898035.0524325,10214,-5278,9406,2241,-97,-1248,wave
1789898035.0623767,11526,-4038,10464,2154,17,-1518,wave
1789898035.0724432,11096,-2998,12074,2157,129,-1642,wave
1789898035.0823295,13696,488,12528,2254,-51,-1757,wave
1789898035.0924425,17704,4234,14968,2292,-84,-1807,wave
1789898035.1023731,19182,7296,14410,2208,263,-1568,wave
1789898035.1124334,21342,7342,17934,1983,310,-1008,wave
1789898035.1223485,23548,10512,17290,1713,611,-972,wave
1789898035.132436,20244,10274,18498,1459,1424,-745,wave
1789898035.1425447,17818,11560,21068,1330,1752,-739,wave
1789898035.152452,16840,14698,22104,1092,1527,-678,wave
1789898035.1623633,17434,18638,25288,713,1206,-641,wave
1789898035.1724463,14838,19832,26618,109,1120,-138,wave
1789898035.1823282,11368,18484,25946,-546,797,426,wave
1789898035.1922734,8698,14920,24276,-1135,338,880,wave
1789898035.2025979,8290,11956,22060,-1559,-241,1089,wave
1789898035.212498,9192,10426,20218,-1918,-719,1092,wave
1789898035.22238,10112,8618,18200,-2386,-936,957,wave
1789898035.2324655,12552,4538,14494,-2857,-1068,900,wave
1789898035.2423534,13214,1018,11968,-3009,-782,817,wave
1789898035.2524686,14196,-2562,9436,-2936,-523,801,wave
1789898035.262386,15576,-4858,8082,-2862,-286,772,wave
1789898035.2712514,13854,-6636,8148,-2833,64,880,wave
1789898035.282329,11964,-8258,7320,-2720,145,994,wave
1789898035.2924645,10998,-10210,6346,-2530,120,1037,wave
1789898035.302343,8888,-11554,6876,-2294,209,1049,wave
1789898035.3112407,9616,-11620,6480,-2067,92,932,wave
1789898035.322349,9036,-12518,6024,-1950,162,857,wave
1789898035.332253,7616,-13982,4958,-1871,235,786,wave
1789898035.3423283,7266,-15390,4650,-1725,216,644,wave
1789898035.351246,8552,-17068,3240,-1530,95,553,wave
1789898035.362334,8294,-18076,2556,-1244,131,557,wave
1789898035.3712611,7352,-19550,1742,-974,310,519,wave
1789898035.3826637,6398,-20604,624,-694,462,325,wave
1789898035.392365,4826,-21722,472,-380,574,159,wave
1789898035.402475,4284,-21992,-142,-3,495,56,wave
1789898035.412362,2626,-22194,-382,412,430,-53,wave
1789898035.4212792,1484,-21728,-130,821,304,-225,wave
1789898035.4323635,1312,-19886,432,1211,82,-464,wave
1789898035.4423413,1116,-18356,1332,1536,-143,-593,wave
1789898035.452444,2602,-16860,1720,1811,-420,-729,wave
1789898035.4623585,3400,-15910,2304,2059,-554,-777,wave
1789898035.4724317,5318,-13964,3274,2307,-652,-926,wave
1789898035.4825623,8568,-10928,4756,2448,-663,-1235,wave
1789898035.4924393,9962,-7504,6782,2494,-501,-1423,wave
1789898035.502559,12298,-4364,8204,2595,-469,-1504,wave
1789898035.5126576,12828,-1630,10462,2684,-369,-1391,wave
1789898035.5225923,15126,1150,12248,2722,-343,-1353,wave
1789898035.532463,16940,4496,14754,2653,-131,-1435,wave
1789898035.5423858,20180,7744,16266,2522,164,-1587,wave
1789898035.55247,19622,12710,20888,2258,752,-1814,wave
1789898035.5626018,20938,17528,24410,1907,882,-1718,wave
1789898035.5724642,22140,18386,24960,1634,911,-1334,wave
1789898035.582576,18842,21790,27882,1384,1258,-1086,wave
1789898035.5925162,14482,21718,30954,717,1342,-582,wave
1789898035.601471,13794,21476,28532,80,945,-254,wave
1789898035.6122975,10880,19470,28562,-555,652,155,wave
1789898035.6223788,11700,16836,25894,-1180,175,416,wave
1789898035.6324887,12204,13340,22032,-1718,-55,602,wave
1789898035.6423495,11104,9950,20166,-2065,-58,803,wave
1789898035.6524749,10810,7228,17418,-2250,-266,900,wave
1789898035.6623728,10466,5374,16344,-2370,-450,874,wave
1789898035.6724691,11324,2540,14274,-2582,-586,870,wave
1789898035.6823516,11814,576,12282,-2716,-609,807,wave
1789898035.6924782,12160,-2598,10690,-2790,-520,764,wave
1789898035.7024057,12938,-4054,8686,-2757,-443,629,wave
1789898035.7124705,11958,-6966,7868,-2707,-199,622,wave
1789898035.722428,8630,-6300,10888,-2559,-198,657,wave
1789898035.7324874,13286,-7766,6210,-2517,-547,742,wave
1789898035.7423887,9388,-10694,7142,-2392,-27,834,wave
1789898035.7524636,9198,-12706,5386,-2279,-156,860,wave
1789898035.762587,10214,-15588,3896,-2119,-294,916,wave
1789898035.7725146,8964,-18754,2982,-1956,-134,978,wave
1789898035.7824368,8734,-20860,1516,-1724,-157,867,wave
1789898035.7923217,9698,-22344,186,-1393,-177,703,wave
1789898035.8014965,8872,-23782,-744,-1048,68,579,wave
1789898035.8123047,6906,-24678,-1628,-661,285,505,wave
1789898035.8214731,2916,-23598,-1108,223,449,209,wave
1789898035.8324282,1956,-22298,-794,641,371,42,wave
1789898035.8424032,1078,-21058,-664,1021,299,-131,wave
1789898035.8524413,210,-19856,-72,1377,229,-318,wave
1789898035.8625402,-16,-18338,590,1715,74,-544,wave
1789898035.8723102,564,-16568,1134,2041,-110,-772,wave
1789898035.8824103,1400,-14724,1848,2362,-289,-973,wave
1789898035.8925068,3046,-12846,2482,2668,-471,-1166,wave
1789898035.902595,4082,-10380,3672,2948,-556,-1372,wave
1789898035.9124944,6142,-7560,4666,3180,-650,-1642,wave
1789898035.9224417,8206,-5408,5408,3375,-686,-1854,wave
1789898035.9325452,10386,-3500,6160,3524,-577,-2101,wave
1789898035.9426014,11924,-1656,6980,3655,-291,-2358,wave
1789898035.9527323,12698,536,8250,3830,86,-2599,wave
1789898035.9624138,14164,4002,9398,4007,457,-2868,wave
1789898035.9725106,16112,8438,12846,4089,858,-3188,wave
1789898035.9826257,20320,16986,15812,4189,1055,-3340,wave
1789898035.992738,19798,25772,21970,4060,1470,-3191,wave
1789898036.0026102,20890,30086,25806,3488,1583,-2705,wave
1789898036.0127413,18428,31264,28644,2527,1753,-2021,wave
1789898036.0226102,14886,29016,28946,1435,1614,-1017,wave
1789898036.0325124,13160,24652,27266,563,1085,-245,wave
1789898036.0413334,12674,21414,25482,-57,531,140,wave
1789898036.0523272,13648,19062,22714,-502,142,454,wave
1789898036.062407,12490,17292,21534,-844,180,726,wave
1789898036.0725307,11330,16300,21156,-1201,252,807,wave
1789898036.0824695,11098,15178,20574,-1672,228,717,wave
1789898036.0925615,10890,13594,19042,-2068,217,653,wave
1789898036.1024122,9978,11300,17432,-2304,264,647,wave
1789898036.1113908,9632,7948,15484,-2438,149,780,wave
1789898036.1227655,9498,6090,14110,-2504,74,873,wave
1789898036.1314018,8222,4926,14186,-2527,13,1021,wave
